Amostra;Obs1;Obs2;Obs3;Obs4;Obs5;Obs6
1;50,24;47,83;49,92;49,86;50,69;51,37
2;49,40;49,42;48,33;51,35;51,65;50,23
3;49,70;50,19;51,81;48,95;50,79;48,37
4;51,49;49,21;49,37;51,60;51,48;48,16
5;48,15;50,89;49,19;51,09;49,04;47,79
6;49,77;50,85;47,89;49,24;49,72;48,07
7;50,61;50,89;47,65;52,02;50,31;51,91
8;47,97;50,99;49,72;48,38;48,61;50,90
9;50,66;48,54;49,24;51,03;50,34;51,91
10;51,14;51,09;50,26;50,86;52,27;50,22
11;51,63;49,82;49,85;49,78;51,31;50,15
12;51,25;50,45;48,40;48,74;50,34;48,54
13;49,98;50,11;49,03;51,01;51,24;49,71
14;51,08;48,09;50,07;48,29;52,01;51,47
15;50,50;48,56;50,04;52,34;48,68;50,71
16;48,21;48,42;51,64;50,76;50,33;49,38
17;50,93;50,01;51,24;49,68;50,35;48,56
18;50,99;51,00;48,34;48,48;48,90;51,37
19;50,87;49,30;50,81;48,60;51,65;48,81
20;48,96;49,70;51,31;50,76;49,06;51,40
21;50,02;51,45;49,26;50,17;47,71;48,02
22;52,10;50,60;51,50;48,00;49,58;48,63
23;49,46;50,45;51,70;49,99;48,22;50,17
24;49,12;51,22;50,71;50,70;51,52;48,74
25;51,48;48,81;49,19;51,16;49,22;51,49
