Amostra;Obs1;Obs2;Obs3;Obs4;Obs5;Obs6;Obs7
1;55,08;57,19;57,76;55,45;53,18;57,55;58,6
2;57,61;60,11;57,98;58,48;57,85;56,09;54,47
3;56,69;57,33;55,32;55,87;59,71;60,36;59,27
4;56,55;57,79;56,36;57,05;56,68;56,21;54,92
5;56,61;58,28;56,47;57,64;58,49;56,1;57,74
6;56,1;56,82;57,53;56,56;56,12;58,18;57,91
7;56,86;60,84;57,07;57,36;56,6;58,17;58,35
8;54,99;58,86;56,71;56,23;56,02;54,7;57,28
9;59,26;58,64;53,43;56,99;56,54;56,47;58,08
10;57,74;57,53;57,34;56,84;60,06;54,98;57,89
11;58,72;58,53;56,2;54,66;56,6;58,01;58,49
12;57,99;56,34;57,72;59,15;56,17;57,17;59,41
13;55,71;54,6;57,15;58,24;57,1;57,01;55,81
14;57,26;57,78;57,96;59,54;56,24;55,07;57,98
15;53,53;56,6;54,34;58,16;58,72;59,06;56,67
16;58,6;58,32;59,49;56,95;55,99;56,15;56,67
17;56,93;55,66;56,21;56,7;57,64;56,96;55,66
18;56,39;58,55;58,31;56,83;60,08;60,17;58,33
19;58,17;57,4;60,99;57,04;54,82;57,57;53,91
20;56,06;55,55;58,05;57,79;53,86;56,92;58,44
21;58,93;56,48;56,05;56,33;58,63;54,35;57,47
22;57,27;54,53;56,9;59,78;54,59;55,97;53,85
23;56,03;57,04;57,12;55,78;56,88;58,13;57,9
24;56,79;55,32;57,64;57,51;57,37;56,03;55,96
25;59,08;57,81;56,24;58,29;57,27;56,67;56,28
26;55,01;52,19;58,91;59,84;56,75;58,65;58,23
27;56,21;55,61;57,48;56,1;57,19;54,93;57,44
28;57,51;57,01;57,87;55,57;55,5;57,54;55,44
29;57,7;56,42;56,34;56,58;57,32;54,99;55,76
30;56,81;54,1;59,95;61,59;55,68;55,12;58,53
31;56,91;56,5;57,28;58,74;57,44;56,87;59,66
32;58,45;59,55;58,45;56,76;56,96;54,55;54,3
33;58,57;58,01;57,49;55,87;59,81;58;61,39
34;59,82;56,32;59,56;59,42;57,65;54,99;54,62
35;57,71;58,43;55,62;60,38;55,91;57,87;57,8
36;57,77;56,66;58,29;57,52;58,5;59,23;57,36
37;58,38;55,36;57,8;56,55;57,3;55,33;55,3
38;55,28;58,2;58,36;55,83;55,45;56,56;58,13
39;56,85;54,23;55,43;58,19;55,06;57,53;58,19
40;58,49;56,8;55,85;55,44;57,25;56,62;59
